lang,raw,gold,pred_A,pred_B,is_nonstandard,A_correct,B_correct,change
en,!,!,!,!,False,True,True,both_TN
en,!!,!!,!!,!!,False,True,True,both_TN
en,!!!,!!!,!!!,!!!,False,True,True,both_TN
en,!!!!,!!!!,!!!!,!!!!,False,True,True,both_TN
de,!!!!!,!!!!!,!!!!!,!!!!!,False,True,True,both_TN
en,!!!!!!!!!!!,!!!!!!!!!!!,!!!!!!!!!!!!!!!,!!!!!!!!!!,False,False,False,both_FP
en,!!!!!!!!!!!!!,!!!!!!!!!!!!!,!!!!!!!!!!!!!!!!!!!!!!!!!,!!!!!!!!!!!!,False,False,False,both_FP
en,"""","""","""","""",False,True,True,both_TN
en,"""""","""""","""""","""""",False,True,True,both_TN
de,"""oil-painting""-Modus","""oil-painting""-Modus","""oil-painting""-Modus","""oil-painting""-Modus",False,True,True,both_TN
en,#,#,#,#,False,True,True,both_TN
en,##,##,##,##,False,True,True,both_TN
en,#1,#1,#1,#1,False,True,True,both_TN
en,#10000000xkissssss,#10000000xkissssss,#10000000xkissssss,#10000000xkissssss,False,True,True,both_TN
en,#104,#104,#104,#104,False,True,True,both_TN
en,#15,#15,#15,#15,False,True,True,both_TN
en,#1798's,#1798's,#1798's,#1798's,False,True,True,both_TN
en,#2,#2,#2,#2,False,True,True,both_TN
en,#27,#27,#27,#27,False,True,True,both_TN
en,#3,#3,#3,#3,False,True,True,both_TN
en,#4,#4,#4,#4,False,True,True,both_TN
en,#5,#5,#5,#5,False,True,True,both_TN
en,#6yearswithshinee,#6yearswithshinee,#6yearswithshinee,#6yearswithshinee,False,True,True,both_TN
en,#7,#7,#7,#7,False,True,True,both_TN
en,#8,#8,#8,#8,False,True,True,both_TN
en,#9,#9,#9,#9,False,True,True,both_TN
en,#aboveandbeyond,#aboveandbeyond,#aboveandbeyond,#aboveandbeyond,False,True,True,both_TN
en,#albert_stanlie,#albert_stanlie,#albert_stanlie,#albert_stanlie,False,True,True,both_TN
en,#alchemyfestival,#alchemyfestival,#alchemyfestival,#alchemyfestival,False,True,True,both_TN
en,#alienfamily,#alienfamily,#alienfamily,#alienfamily,False,True,True,both_TN
en,#amustsee,#amustsee,#amustsee,#amustsee,False,True,True,both_TN
en,#android,#android,#android,#android,False,True,True,both_TN
en,#askcamila,#askcamila,#askcamila,#askcamila,False,True,True,both_TN
en,#bbcsport,#bbcsport,#bbcsport,#bbcsport,False,True,True,both_TN
en,#bettertogether,#bettertogether,#bettertogether,#bettertogether,False,True,True,both_TN
en,#biggestliesgma,#biggestliesgma,#biggestliesgma,#biggestliesgma,False,True,True,both_TN
en,#blessing,#blessing,#blessing,#blessing,False,True,True,both_TN
en,#catfish,#catfish,#catfish,#catfish,False,True,True,both_TN
en,#childrensbook,#childrensbook,#childrensbook,#childrensbook,False,True,True,both_TN
en,#cobertura1dbra,#cobertura1dbra,#cobertura1dbra,#cobertura1dbra,False,True,True,both_TN
en,#coloradosprings,#coloradosprings,#coloradosprings,#coloradosprings,False,True,True,both_TN
en,#cops,#cops,#cops,#cops,False,True,True,both_TN
en,#corrie,#corrie,#corrie,#corrie,False,True,True,both_TN
en,#coupon,#coupon,#coupon,#coupon,False,True,True,both_TN
en,#cutforzouis,#cutforzouis,#cutforzouis,#cutforzouis,False,True,True,both_TN
en,#ep2014,#ep2014,#ep2014,#ep2014,False,True,True,both_TN
en,#eurosouth,#eurosouth,#eurosouth,#eurosouth,False,True,True,both_TN
en,#exceeding,#exceeding,#exceeding,#exceeding,False,True,True,both_TN
en,#f1,#f1,#f1,#f1,False,True,True,both_TN
en,#fajr,#fajr,#fajr,#fajr,False,True,True,both_TN
en,#filipinoimagines,#filipinoimagines,#filipinoimagines,#filipinoimagines,False,True,True,both_TN
en,#freebie,#freebie,#freebie,#freebie,False,True,True,both_TN
en,#gg3rdjpntour,#gg3rdjpntour,#gg3rdjpntour,#gg3rdjpntour,False,True,True,both_TN
en,#godblessings,#godblessings,#godblessings,#godblessings,False,True,True,both_TN
en,#gopokes,#gopokes,#gopokes,#gopokes,False,True,True,both_TN
en,#govia,#govia,#govia,#govia,False,True,True,both_TN
en,#gta,#gta,#gta,#gta,False,True,True,both_TN
en,#happymemorialday,#happymemorialday,#happymemorialday,#happymemorialday,False,True,True,both_TN
en,#hardwell1000000,#hardwell1000000,#hardwell1000000,#hardwell1000000,False,True,True,both_TN
en,#heh,#heh,#heh,#heh,False,True,True,both_TN
en,#herhealth,#herhealth,#herhealth,#herhealth,False,True,True,both_TN
en,#honest,#honest,#honest,#honest,False,True,True,both_TN
en,#indyref,#indyref,#indyref,#indyref,False,True,True,both_TN
en,#jeffwalz,#jeffwalz,#jeffwalz,#jeffwalz,False,True,True,both_TN
en,#jesus,#jesus,#jesus,#jesus,False,True,True,both_TN
en,#kids,#kids,#kids,#kids,False,True,True,both_TN
en,#kingchucksgod,#kingchucksgod,#kingchucksgod,#kingchucksgod,False,True,True,both_TN
en,#ladycards,#ladycards,#ladycards,#ladycards,False,True,True,both_TN
en,#lahlalonto,#lahlalonto,#lahlalonto,#lahlalonto,False,True,True,both_TN
en,#lancomegrandiose,#lancomegrandiose,#lancomegrandiose,#lancomegrandiose,False,True,True,both_TN
en,#lastfm,#lastfm,#lastfm,#lastfm,False,True,True,both_TN
en,#legend,#legend,#legend,#legend,False,True,True,both_TN
en,#letkapalawalk,#letkapalawalk,#letkapalawalk,#letkapalawalk,False,True,True,both_TN
en,#livinthedream,#livinthedream,#livinthedream,#livinthedream,False,True,True,both_TN
en,#lostplanetinseoul,#lostplanetinseoul,#lostplanetinseoul,#lostplanetinseoul,False,True,True,both_TN
en,#louisville,#louisville,#louisville,#louisville,False,True,True,both_TN
en,#makatitraffic,#makatitraffic,#makatitraffic,#makatitraffic,False,True,True,both_TN
en,#mariahcarey,#mariahcarey,#mariahcarey,#mariahcarey,False,True,True,both_TN
en,#marketing,#marketing,#marketing,#marketing,False,True,True,both_TN
en,#matrixmakessense,#matrixmakessense,#matrixmakessense,#matrixmakessense,False,True,True,both_TN
en,#memorialday,#memorialday,#memorialday,#memorialday,False,True,True,both_TN
en,#mm,#mm,#mm,#mm,False,True,True,both_TN
en,#movies,#movies,#movies,#movies,False,True,True,both_TN
en,#music,#music,#music,#music,False,True,True,both_TN
en,#new,#new,#new,#new,False,True,True,both_TN
en,#nolies,#nolies,#nolies,#nolies,False,True,True,both_TN
en,#nowplaying,#nowplaying,#nowplaying,#nowplaying,False,True,True,both_TN
en,#nyr,#nyr,#nyr,#nyr,False,True,True,both_TN
en,#nyrplayoffs,#nyrplayoffs,#nyrplayoffs,#nyrplayoffs,False,True,True,both_TN
en,#openfollow,#openfollow,#openfollow,#openfollow,False,True,True,both_TN
en,#payzerisback,#payzerisback,#payzerisback,#payzerisback,False,True,True,both_TN
en,#philippines,#philippines,#philippines,#philippines,False,True,True,both_TN
en,#phoneshop,#phoneshop,#phoneshop,#phoneshop,False,True,True,both_TN
en,#portland,#portland,#portland,#portland,False,True,True,both_TN
en,#praise,#praise,#praise,#praise,False,True,True,both_TN
en,#prayfortheo,#prayfortheo,#prayfortheo,#prayfortheo,False,True,True,both_TN
en,#quotes,#quotes,#quotes,#quotes,False,True,True,both_TN
en,#real,#real,#real,#real,False,True,True,both_TN
en,#realist,#realist,#realist,#realist,False,True,True,both_TN
